ROI,Z_view_gt_baseline,Beta_view_gt_baseline,Z_recall_gt_baseline,Beta_recall_gt_baseline,Z_imagine_gt_baseline,Beta_imagine_gt_baseline,Z_view_gt_recall,Beta_view_gt_recall,Z_view_gt_imagine,Beta_view_gt_imagine,Z_recall_gt_imagine,Beta_recall_gt_imagine
"Temporal Fusiform Cortex, posterior division",-0.12998368435933785,-0.11821831426008096,-0.34231260466090796,-0.3249814713977166,-0.14019963550850154,-0.11267884532507803,0.7210770169076347,0.8876398465103512,0.00887654397750538,0.0002924405469168109,-0.4318510107788508,-0.46747470264304086
Temporal Occipital Fusiform Cortex,-0.15038792481580357,-0.12296924214679482,-0.7310427158471346,-0.847526726005863,-0.6110219173437448,-0.6293338842322256,1.2320880198240083,3.0606131151752063,0.8133880042994217,1.2117624049597941,-0.4001995946769375,-0.42460067501472903
Occipital Fusiform Gyrus,-0.4125319232838522,-0.36361279650827355,-1.0471059097342252,-1.5751583032985246,-1.0396016980707765,-1.4179621043402817,1.229850578854483,4.985869350478398,1.122102489001113,2.501916151593068,-0.23758411091213016,-0.19817232885888572
Frontal Opercular Cortex,-0.2510243723885945,-0.16393716327051214,-0.1479223757924381,-0.10727782082719535,0.03301073626422198,0.05969654443886238,-0.22727497690033696,-0.23799162013451092,-0.4343798313788468,-0.5095799135647204,-0.37372769544408657,-0.378944803012222
Central Opercular Cortex,0.4686566488670888,0.32060244784833236,0.3297240660212856,0.25070927250979586,0.07561265454044609,0.05788002315630679,0.3093822244642193,0.2949809067613396,0.5630057812141543,0.5897661710791742,0.4459011904434955,0.43157323798562847
Parietal Opercular Cortex,0.44188891760514165,0.277892072646036,0.3277893701880236,0.2292848100709456,0.07776583698166996,0.025730871369853456,0.17582181895021476,0.20089694539445568,0.561433639194337,0.5691785986504274,0.546904891327499,0.4575149798516978
Planum Polare,0.2896363332714542,0.225076758249563,0.2319955137831928,0.18197975272509576,-0.06460021026240646,-0.03761933602067356,0.13328127575606719,0.17942968559298864,0.4848220043087392,0.6019566326629815,0.4682816088657139,0.5023497453128193
Heschl's Gyrus (includes H1 and H2),0.29943720350552105,0.1778549448586033,0.18020569534598266,0.11651482848779658,-0.06883762879073717,-0.04433553721542591,0.19292055483811665,0.2563087314733568,0.596044306427331,0.510370766856788,0.5073608621681877,0.37073465503009256
Planum Temporale,0.5303448947130133,0.3531590020957914,0.40338480160014084,0.3004320499649389,0.14522927303769995,0.11491389089055946,0.15774496694061813,0.21802027109558403,0.5313005032800966,0.5254872017628446,0.5182337167745317,0.40727383130328626
Supracalcarine Cortex,0.06819051334040527,0.01474727102023298,0.10889272540245881,0.07041686565914941,-0.05142643663786659,-0.15358027678904188,-0.20759459007955486,-0.24219245267034775,0.24369387894028371,0.4183267991101294,0.6399413986895179,0.5351158976575358
Occipital Pole,-0.16336871971711112,-0.1306706969573632,-0.8000690119021538,-1.0196312998334993,-0.876842190022849,-1.057013346070843,0.9348862545087677,3.6641840619256443,1.0004482864458721,2.1762520537695207,0.26552147299884954,0.1989687606398335
Left Cerebral White Matter,-0.10305487996481617,-0.07292768010071445,-0.1580502697112418,-0.12833609451627612,0.009392132971820516,0.001272792571978853,0.23048573723800309,0.23790653862245484,-0.22854162501505498,-0.16864796588138048,-0.36873828480375104,-0.2934083542498892
Left Cerebral Cortex,0.1150932808440398,0.10730649907957875,0.06314858515144399,0.05032925152253563,0.07954796044141578,0.05975834401252545,0.13643882472280242,0.23946095787529978,0.09230839671140453,0.10666654400721337,0.0022896123082169597,-0.02203370308653953
Left Lateral Ventricle,0.09720185627939433,0.07254120523824632,0.18814347683207416,0.14419410106095143,0.21219787674787965,0.17413753262847015,-0.17817054192606277,-0.2991204015136633,-0.17601463313940383,-0.2465108879565116,-0.13237388132601022,-0.08302176666243226
Left Thalamus,-0.06269372635570568,-0.04491654702883103,-0.260096498140415,-0.17768663074710536,-0.22875391558766314,-0.16339527016658925,0.5458876066834821,0.5653936399769564,0.357712366598602,0.2864210382587003,-0.04593133332773503,-0.01631772563433749
Left Caudate,-0.10158344818110877,-0.029797495095331087,-0.07724106783644877,-0.001465286466514821,0.16265213561880718,0.15780505219851262,-0.1506062918103778,-0.1185992998095524,-0.5109635226544756,-0.4378727882956838,-0.469760928841446,-0.37374714360394634
Left Putamen,-0.04289818217497075,0.02591777410574077,-0.21467483437742527,-0.11009317274244265,0.1469984533925227,0.13080627829387795,0.5759568193094432,0.5830445378425279,-0.3452156794085294,-0.2399719227299579,-0.656595225095351,-0.5513238385279842
Left Pallidum,0.14140740753358008,0.07051391975496181,0.11381363961903439,0.04117106926563927,0.32979337611397874,0.1923147866598388,0.16840920716046912,0.12592726362276896,-0.3793143708589136,-0.292212328757407,-0.49998383323898554,-0.3596642352006005
